Species,Weight,Length1,Length2,Length3,Height,Width
Perch,568.1786608200476,35.53484612485067,20.17773168440726,1.4585873598596457,10.847801268491736,2.433663829791887
Perch,303.18882563494515,36.65856572888824,28.485353628750804,23.521377832501543,5.94627363538671,1.6587298512307602
Parkki,645.0726562234219,34.50249666364956,27.954389365414453,20.902346709264698,12.733729916029098,4.048368402011818
Perch,255.412517981625,10.976221682187914,35.86287627573977,35.803922038098136,6.8188547531727846,5.117200330386362
Bream,738.3092017006966,10.037636003317871,28.401931562279675,38.583032279423115,5.35975153137117,3.9865963433673346
Bream,309.697235749078,27.1194402497475,33.937872340723544,26.89116396185685,6.9354479255256525,7.207478143609777
Perch,754.2286852674224,29.050930442951714,31.7338197443342,28.760459871011342,6.511885041766394,5.204396623252759
Perch,879.104530141351,24.173009344236732,33.1985792250287,19.420509519541486,7.487691106121023,8.569126526836648
Perch,358.95924797453733,19.99786990725532,31.522157745992963,26.16296788497793,6.776418632829129,6.1261398147134285
Smelt,844.0409483266232,29.883108517886765,40.217226421125154,34.529452642494554,18.408473125981494,3.1226598175847684
Perch,39.092644117866826,31.399305172222373,52.15118343409383,52.33786596407785,17.226525493567884,6.5589091350486335
Bream,1250.3551769453861,5.240212379356883,36.20738128720809,38.99657229046552,13.269630283534745,2.8881997534945083
Bream,1145.2025827557507,31.99756196000484,20.671130191213166,27.504711299576098,11.22134487169295,5.046711125909974
Perch,515.5385491325173,30.941729995080426,0.4736344183927237,24.051590765158082,5.5943007668085265,4.449983806671429
Smelt,176.3502857655725,19.144322725285495,27.778321097891403,35.93609903946138,5.388558286881672,5.83878773736503
Whitefish,384.1874587658257,45.10430109402605,12.97576512689641,48.04471757613632,9.884766750189236,5.160001794280898
Bream,617.5488132075898,24.901157608261187,42.58475079767919,38.467784982347446,4.678191858584319,5.718984439265221
Smelt,1212.1645081653182,27.64143678433428,23.344780323037796,41.501819901345264,7.451123452568721,5.988955955084269
Pike,162.93911870467994,19.544581408941216,31.30938071372295,12.980315315125715,3.239391805274132,6.5014687674210325
Perch,646.18062888732,40.41713249892685,37.77467247837086,27.928603654478234,6.601538047140033,7.475663791599714
Pike,557.1283872738134,25.56010442460087,24.407717535365048,34.61147489422517,12.052223015938818,3.035432782641883
Perch,205.94818596259134,30.391128641208958,22.212965204646682,58.24791128182236,14.64362777257349,6.300171115855148
Pike,760.2200550628529,5.815952407049853,41.82274066626855,27.63770662133782,5.994825014454685,7.010683206192413
Smelt,1097.020408491116,31.42175840448299,34.801523266183096,10.599531269796444,3.134593259280611,5.648557771633716
Pike,798.8200441492511,32.385825841149504,28.146876538792494,25.70213446327128,9.056392519195988,5.529932183086903
Perch,817.8804597195956,39.352291027027796,16.729411106174368,35.80462977062318,9.77107507699231,7.272517579219803
Perch,254.4109795305691,21.454737204141615,30.55175662121033,45.64454881556672,6.670348490982866,3.6748133620404433
Parkki,86.60259771024664,31.277337514760585,27.331833489316114,33.05513167895777,8.622645923245448,6.340103717388217
Smelt,366.799170937262,11.932107556772605,35.0823717770862,25.323282316275865,8.863103971782373,4.130629147220308
Pike,174.57763820757737,45.70718061701113,25.505404136320635,36.17289053987661,15.68601272901884,5.3170087989659
Perch,750.7397706710797,10.418198159922506,30.565830442106154,28.35599666236137,9.127134893124655,8.1845589090139
Perch,20.03748117285403,39.91906557151515,27.675817962900695,73.00565333754476,7.049328393122528,0.43569052984458656
Perch,101.61114738713496,32.406760131087765,41.83295661583771,31.58186986573137,3.280300207160548,5.283432558500635
Bream,114.76942704480285,22.541294714658342,25.508362776418696,27.274062342830792,16.054776800383756,4.479654128356123
Smelt,372.9410079166173,20.15763890981232,18.632839252900453,16.703572692317092,10.05906409551909,4.421997754105463
Bream,279.7753218857223,22.068659685679144,10.234579778438423,25.613892208757292,0.7899560583727236,3.4959715514757934
Bream,547.2003084463001,30.155785735090138,26.968977212975968,34.213264254161786,2.6482335237230306,3.20852097624849
Bream,431.1484306437849,34.03456509156658,27.90877921114024,18.513940780203484,8.986432448646427,4.494499358480981
Roach,349.43470510838375,24.819070536081522,40.941629317982475,23.671285546606033,10.248095228388946,4.490360010205834
Bream,1188.4387944330601,23.52922788443956,24.21159004365947,22.591630265843577,8.846268460751471,3.9689964280000245
Pike,559.4618873969475,33.57931977159232,37.68643698167595,30.422407167577706,5.99624221456766,5.770938685478098
Bream,0.21004055562423218,19.876620728113757,22.64280908329459,50.958457797694365,10.252373314522568,4.339614609913892
Smelt,678.6433034300835,29.82578099432383,38.54718310347801,38.28340345829343,9.864980026550832,2.651249296515836
Perch,375.0580771940948,21.09914464253626,30.52537384447583,28.3656460300915,1.7975354866974307,4.196557476602926
Whitefish,792.9644142483326,33.289555149112445,31.655360894530975,46.46715430241541,4.699222890193242,4.8402755768334655
Perch,347.68653087024927,51.58594013857174,18.335511818336997,24.49502934838575,7.222638599114382,6.983206000558468
Bream,79.37336834167593,33.999676814846836,15.219413773316559,36.08544527702444,13.801053203866685,7.2430001977535134
Perch,367.2389334838988,18.082970312273517,31.864032624468784,56.60796273404567,11.572953653639455,6.364937774680876
Smelt,81.0504103731306,17.352458865102726,28.65201922169755,21.40771112726044,7.172570307631894,4.629766929353647
Roach,300.8902528276625,29.64384294811976,29.006404519263334,32.246472460053965,9.087897871567234,4.289128094206991
Perch,258.89866862065566,27.064882332401723,19.878449350385875,37.793348749646455,11.14574015132316,8.051242997494208
Roach,724.585520536821,30.852029558816334,29.059062343376645,47.96263494450956,6.186721696419409,6.268450547197207
Smelt,564.9109717738686,14.173625753519511,33.425193162385334,12.416452563890637,8.466112776563753,2.482050797170722
Bream,622.4638117834488,43.57666753862007,24.82821318562665,24.851372768098564,10.40675992776488,6.267802147516107
Perch,355.0736572668489,49.27924182989316,46.40733011894568,32.92342391985608,5.6256644805831435,5.071883099852206
Perch,493.79507428779687,30.662355050932174,44.147458680162295,35.925489168476,9.561389337570498,5.479354748739922
Bream,271.1703646102326,11.891266810037044,42.666934130849036,36.55887500269593,9.579595074195211,4.482521345820448
Bream,825.2983233009596,28.96566580845658,35.80678022837851,43.42647756836023,9.212898832266742,3.7537503839813424
Pike,183.55489099480974,27.379013244143582,29.739093651933224,25.91765273220501,12.560160893749492,4.50841047417844
Perch,245.05579926177128,16.39606236017378,29.052546527308245,39.75738450887473,6.207210779043807,5.258175069876959
Roach,676.1758673492541,11.430966120339168,37.14927930704934,29.686427748526803,9.431079427440812,5.699350404248432
Perch,37.379902369126455,32.4864842109073,12.607629008328566,15.645107090525858,15.221694958209213,4.281199684075088
Parkki,486.1990371071661,16.49086278403503,23.869570232487114,31.23417558469243,5.086588598901168,3.088870977776847
Perch,962.6361045472205,29.807074366896135,16.110338061774925,28.42035798162024,9.259315719881169,4.162438247675735
Roach,630.3940668058767,39.41348545550608,23.27254665417003,29.05280524866068,7.925907292077755,5.269762571609887
Perch,744.4338318559996,50.43958347184224,15.979326928261527,32.168977207692535,10.69020399039832,2.4849023768199325
Bream,613.9740127883688,20.373566730133962,30.039071378766966,26.48361242359347,13.78788618539378,2.144456114309541
Bream,95.26431788840762,22.152017470438853,19.972601669855692,41.01920762681081,14.005156659204012,5.1925853358930265
Whitefish,406.97416050152077,41.71154644036919,29.083117411073893,28.489700425173332,8.94190594584282,3.423413123932641
Bream,69.52721343936321,15.034893734539803,42.19087302119202,36.042749388429215,10.199229469735867,5.311905925527977
Bream,217.5300256983944,30.506176043802974,27.217691198347794,21.781456162567345,5.537386708439051,5.3654041443367895
Bream,1065.6221621920904,17.295818025570117,24.564327948007058,33.182132517374704,12.23373804465715,3.2755815636305963
Pike,715.4521124686462,36.943860886792876,34.56672850016389,28.985452761472622,6.3337595384325445,4.589938623590885
Perch,359.47764884307594,37.36139469857368,36.83473255671798,33.26883999239263,13.06286723370975,4.082909226656277
Roach,463.2127316470983,32.268816485616625,30.108267458904063,35.98929193766906,13.659318473370394,6.487779002524705
Perch,489.4136250213237,11.414223611678052,29.100927325494006,24.35466910268157,4.115405993737448,6.043942908542106
Smelt,434.36338419431854,26.69204782071325,23.22542559008338,29.99406764298705,8.196071209856601,1.3439688732886035
Bream,885.3936558273908,29.93232706229184,7.983865244091692,57.877051151277925,3.5290520035988306,5.82131398660914
Bream,233.60584539134553,14.479860941724654,14.151066309272032,11.284975170741486,5.144149382673872,3.2758254344595916
Roach,484.12425655347033,22.184976847011963,28.130630970861695,15.869325221236704,9.920165215242976,4.886482245998715
Roach,145.48184522294798,14.80458037435075,38.25795633202721,52.29200223190423,5.396426305765022,6.602327545397991
Pike,603.9101538507516,30.280440978628768,28.77198213172779,18.063045024413135,6.266900183532133,5.265598449293318
Whitefish,965.3084356118103,46.81673447259378,37.66199792663161,27.079120230831236,9.770310732665159,7.6836117498837275
Whitefish,640.1759080259178,51.49161493594345,31.5607168507467,22.21084251028612,16.075257892083677,4.41995527038546
Perch,468.3863473418651,35.82852431341546,16.644210229851012,32.36259845041576,6.601481574247931,2.93271048735053
Perch,78.83386903223283,27.034921177087877,41.08475838788539,43.024475661703576,8.622231499753571,5.887584178417311
Smelt,646.5458758990095,16.44560130057475,26.702741053096204,33.181176315263535,7.163704318259718,3.875311246352075
Perch,32.94827122662622,12.980479170732366,43.92622468340333,34.80925997573742,13.534529262402085,1.9482316069894319
Smelt,5.18967406592958,12.774986557789061,26.19194439890618,23.483447109561105,5.477046222014502,4.555989089165254
Perch,147.67073084659705,26.669051033523118,34.59645547789962,10.195646013693846,14.344905854281095,8.379935551760287
Bream,347.2885085281409,19.9784968661045,30.10524538928408,36.59460836419258,8.69702318693738,0.21069244437153323
Perch,424.380698741023,17.02066173675976,29.126002692617757,21.183691385034134,9.925143499649264,7.99248388461919
Pike,552.7834680647649,32.40669126948723,31.8814221850863,46.13189513929958,16.140926604202566,6.82307913987977
Pike,244.8366101535364,22.92635066069423,37.120330217354095,42.22838344045718,13.231403424889306,4.926185552654111
Perch,123.75001549875458,33.15647329730107,29.823836196337318,30.145385567931015,11.142311285892909,3.4085977240503453
Perch,214.11194677736586,24.687008169053478,40.80747289063457,1.913792101869575,15.683528478845629,5.654612263818814
Bream,714.8800364199312,26.932843608320894,16.572129642348884,47.47166334605156,11.549899402201678,4.106190233169379
Whitefish,349.7605092779487,34.255014647953,22.692747176155216,21.223847482196582,6.55354952083257,6.098761960928673
Pike,821.2436490987342,47.15857050220197,14.557366461391558,37.758294031300466,12.23617725389237,4.996363212788713
Perch,626.5696928779078,35.193660832119214,36.03281859247918,47.01969285666829,16.3989407712568,4.830958363604457
Perch,701.9563450870744,33.3870826407207,27.159037100952105,40.8066502425151,11.131693855707741,3.025988571302498
Bream,816.415071749353,25.30504895655562,32.69806914264048,45.769713403652986,9.531247609268668,4.005054854826392
Bream,300.825861034358,22.661496161241942,37.6316006464977,37.2282732987209,7.853301301393105,2.30587103983155
Roach,255.68641483706233,34.675417834735484,53.75973627460036,39.744026801128754,14.897517705369896,5.610146627828074
Roach,458.38077712892255,33.968246472465395,29.01345663137089,18.205891994231905,2.1743673673189656,8.139693923000802
Perch,233.85042471932871,34.46459821098316,29.721002280722324,38.22621973205832,17.918966176453985,2.3261286502682466
Parkki,443.10698162896284,16.871142242778458,5.6836117561400314,54.20586498174653,11.957589329324776,5.089258838475741
Perch,388.7220929120703,21.395792139514526,43.67923533397489,21.3312667770712,4.420347927603219,5.327126686934759
Perch,421.286645386427,25.877766410301152,27.101436178254822,19.79715879010038,7.894746339910303,3.7166000015760807
Perch,192.32782624581262,26.185332278333906,33.37383399006808,33.68266925127197,3.0686772964469826,3.8354549928908974
Pike,859.9602678604675,20.251526585714153,29.854609325345564,32.12501224060997,10.126133894675636,3.879523812677122
Roach,591.7868026447461,21.96837648698184,32.8994849307182,30.92405333582536,11.557548144087356,3.820708491177852
Bream,47.16880366862597,16.967556583290737,37.845686864108536,11.123266699807061,5.057559129303779,2.899180574807594
Parkki,519.5172214125099,35.70267410896304,12.649117962702073,36.079075209725566,7.751505651265134,5.187138811611978
Perch,887.1210787924019,6.3683140435019645,13.043761795541208,33.352396654737646,6.398963630170697,6.285049294897111
Pike,137.04823328751286,22.813874755421896,20.113266518906897,14.954526844667487,12.042006481752335,4.120118545003452
Whitefish,800.1876205389417,27.255249954769905,1.1393338950645386,36.0415090071148,8.771519572013364,2.311219543513934
Pike,385.59577697827626,18.581571099421012,37.49422526918218,31.921964273644562,8.958533472042669,6.141654444399878
Bream,613.7898296510693,26.32127614577853,25.914593365405764,31.39378911505889,6.029159594704366,4.203129273393273
Perch,258.11171551652853,29.047097097494337,34.92888690290343,4.588412895547737,8.203909245399455,4.4718628945696235
Parkki,326.7927337709555,29.053279911652943,31.92589158214796,29.662152491782347,7.138219992093692,1.0497440949021968
Perch,633.2309566013524,31.239372256141834,15.63949110657507,27.64058060790624,8.340481018634641,3.3331958490904965
Smelt,332.3337016792588,37.14350613201585,28.688960375055593,48.61467711803099,12.82901151460991,3.565781674479071
Smelt,747.1486737435375,26.483931195257146,23.07502071717344,20.97988211602064,1.8781265778575724,1.0640490267103924
Bream,81.74167443149838,26.900127585724327,19.800291471009807,16.57527072736753,0.26914500421108656,3.8062650919390526
Parkki,425.7197222218586,42.433069508949956,48.06942087923608,30.81529432852146,18.789152468597194,4.519074083898453
Whitefish,368.5400317193988,25.422152953869354,35.352004830537034,22.117333611589796,8.182985701261817,2.76651508831975
Bream,42.61882605399012,20.30470928510719,27.507685906926366,25.00137883249586,6.70647765578461,4.39377300033978
Bream,1046.6597996592016,28.233218155603264,54.146200514699906,27.92529354772993,17.035724040242684,4.286376436249247
Perch,998.136457143523,24.21182172911199,39.66568380925974,29.431931381213886,8.001442012225613,5.481805768991654
Perch,160.51726991296044,25.572374620678087,11.400657878152511,26.98616884043784,3.6635076512782705,5.986467801155069
Parkki,102.73501629182817,26.229897598379242,32.68748326993337,31.590598881118865,8.805527456513968,3.3463823130350727
Perch,618.6272905993376,19.08630512198416,28.99824271246744,21.673769888632386,12.272491573510058,2.413330833303182
Parkki,218.30825775971903,30.183909129873605,20.52134006629948,28.15299843664596,0.9324602968419544,5.530952564519438
Perch,307.99988012810627,46.112142777288554,23.85370414462269,28.18135794673434,15.555761637299451,2.714534578318651
Smelt,669.0651284197195,17.606015731226467,39.48004011601864,22.583277362140148,13.541542916907979,1.0736187903442649
Smelt,160.36481624665862,10.605420805938381,25.581253050169387,15.558350987199885,4.949240822331931,2.2747877452464076
Roach,633.6326294202203,29.2252590905329,36.89938071061964,21.07840196866857,0.05208470360796902,5.7402697150323885
Roach,223.35460713426986,16.46198207081064,47.09846539432758,36.87642626498156,12.72199763690364,8.755957733287477
Smelt,232.0231212964369,36.13850626232001,32.93941812502151,23.34243420958787,12.79111356050948,3.87390181135697
Smelt,551.9062380053151,13.35530516815181,49.790584291585375,38.693619635094635,6.948923516849213,6.04594347285704
Perch,372.121407844395,24.676527562219412,34.65671235838387,37.83493940909526,20.16258523413088,5.223907270262499
Pike,131.65154737035004,29.05527859258717,35.49577094155826,32.46750816675161,15.49431173412372,3.218371722408391
Parkki,613.6719802985059,12.316149654732197,34.40921285089889,40.096224689726306,10.485201899608038,1.8188576762424917
Perch,355.1416713542743,14.874632284564353,17.41801383953692,25.139142510588933,11.087978419488717,4.026823213291575
Smelt,166.33891951687417,28.974758417230504,34.64137924151909,46.766063470762504,10.858630491628046,6.310838317807257
Roach,660.2099998988976,21.3910159404402,23.9190479601312,11.399900667026998,1.9158147329704276,5.475215356391293
Roach,811.8699749136039,27.018841196093014,41.162955192974906,38.809773581440965,5.521372318643293,3.355885502663301
Bream,918.4696798401158,23.416966039622775,26.0363629245614,32.598256331164826,13.447454556381786,3.2810644686378936
Perch,1027.191804787197,24.86844821662739,35.603877859630316,33.26303201546143,6.427690226534181,5.760254868560832
Roach,385.33333274819176,39.673852756062004,24.051679113604724,22.576063413928285,5.486049893488874,3.5253304772952383
Perch,67.42539389556595,20.20954864779831,34.03156218671303,20.12067417405953,12.273603375354364,3.2070615699960836
Bream,814.6640889943767,20.14559030175392,8.85367609762515,45.639418101242875,18.67791450709495,4.120122424456284
Perch,222.8208768781799,37.42099724185154,34.8296469867595,10.504262834609378,7.1402334912606165,1.8597669384750541
Roach,431.4291117020641,20.99547046691199,26.945668016412686,24.88002737058436,11.936420461975263,4.960227784682194
Bream,187.7014539825066,23.149983297776977,22.57709712168276,30.252130745834272,8.439097940068883,6.2622197840129346
Perch,498.1398000562467,30.356800235632893,19.781545276501397,40.8876047697273,13.823426960059647,1.1920409489536876
Bream,506.73590266953556,25.02919978555585,31.983218008996815,27.197403641432327,17.4185583403042,4.637949123694207
Perch,747.7592994025672,20.351522948360714,34.72277489038072,38.78079380189839,11.133405404342877,6.229261259597588
Pike,383.650760314863,40.70279506843404,34.59691880458676,16.9173863774411,9.37171286266426,1.281451285760729
Perch,177.91659038796195,38.86809481751895,32.71161662815928,10.401363165634454,4.3550327546964525,4.543170381891983
Pike,104.18859296877542,23.792936548865942,31.62512253662291,49.153177317817395,3.5098711734120522,5.322088813238516
Roach,655.0616890489192,27.72204693976457,30.89683186966419,14.16195760566611,12.95439391475477,4.02638069323386
Perch,683.804066585867,24.206863340560112,22.499137347218475,32.9281635414153,4.789771149958973,3.9866760188440438
Smelt,206.77443260546275,35.743461626114374,38.23631019617825,20.898483756005163,0.24757984448362969,2.3131721331236896
Pike,515.7805842600391,23.003872266680336,34.245780265784035,38.22326419259653,7.871786747305194,6.964471339896761
Roach,534.6364384222028,13.685925053517622,42.40780212941019,36.50992681090015,2.359955540480633,4.730853472189835
Roach,387.9646876071454,41.12875686276307,17.340754449019308,45.43781001091677,10.703440447137272,4.182026063475789
Parkki,497.5882144768367,19.178107747664292,13.009426362602035,38.616601981871675,4.000475605938874,4.992285932736357
Parkki,206.50969336921438,26.00697104541886,36.66973415988507,30.859134483254266,9.066019304667263,3.975144585898255
Perch,472.7366191376377,36.8906727436286,35.24769415525136,34.82225717325623,7.901909864609223,5.762979747014024
Bream,708.3043726951216,24.284649738388634,37.096073649430416,22.669803880715698,15.984624072761807,4.37895410105184
Perch,397.98943827625135,30.347772134096875,30.71927331985101,33.97474849857825,12.588061970900254,6.192614207392255
Perch,899.5589240788038,41.38041984290888,31.61638016199501,38.29957076465738,0.12420204871846074,4.411516445264616
Perch,237.08483371067123,24.104134672417317,26.612188939258676,31.10028515394145,12.00134831466296,5.12856186647823
Bream,960.7868837010154,28.055760091455703,41.51497979224634,44.79043105351004,14.821367912123108,2.457284127622466
Perch,162.6196479870058,27.868074385118263,29.054736157641948,35.95965985531636,6.806392249138294,3.5652005633860675
Perch,494.6550223240413,22.031145142742368,26.199924784590074,53.441365737108974,11.590326797451212,6.501450888674514
Bream,288.2338338386588,32.368298057714405,46.358555787638366,33.7828974774481,11.5447763134555,2.3835306863625263
Pike,38.63933544059029,32.89986168646376,34.55215049405119,50.90109654945883,5.766408357827133,3.7050041171614057
Bream,704.0233468236733,24.948077410782307,40.988712608020485,29.229217540642306,8.951257276719316,2.155186221703674
Perch,524.9628592007134,38.46765928695219,14.910552168166312,47.04193239997157,3.8383811958651703,5.052151488468456
Perch,674.4158834954587,30.736993396144474,25.488408152808056,35.548556784803914,11.113684912232785,2.8775381882389715
Perch,585.7724256388079,34.44127826130851,17.53187667491302,26.59516019267212,14.530186230470969,3.1595709573280395
Parkki,20.090670907205606,22.25363100148305,31.092041581192042,27.29496124171915,8.043191746656943,4.666813352256501
Perch,591.0780922513293,40.53453963937062,45.83542460551229,40.75144021154975,6.85035507424202,3.886825700524163
Pike,279.69180042160576,25.340418344571923,29.757698312372117,39.005254146608024,10.756359953345155,4.0537177995346365
Smelt,454.4558804037038,46.93383298123426,33.77704266434067,39.75089604106505,0.5876034253297195,4.872533599202732
Bream,331.31298118140637,30.475903659708983,8.35280955464303,39.1154940938693,7.263238429313224,4.182681540650641
Perch,322.0567909245381,17.370206764306644,9.209305967187937,38.00584287961139,10.847077159413878,7.729426508137765
Perch,305.5136399479272,28.010472132087326,26.65306076552579,19.149188225065217,4.908530780085509,0.9682975455683236
Pike,628.5719047729699,18.87613561465128,35.425888540052554,8.796570603141344,14.520581132170697,2.310033427925829
Bream,1033.2097522246254,28.109144842278756,35.727555239599894,35.02306703369227,4.185099584686395,2.980207524526925
Perch,494.90814232830917,38.25682041397769,30.814260258604378,20.37995174205578,15.554323252712566,1.2618306937292374
Whitefish,862.9703398454517,11.08771108262431,28.52760973016837,33.91537639816997,18.661513762870527,3.9456956681286077
Pike,89.40188614380594,11.85140718122254,26.62723858819855,29.097181084066445,8.104199461853833,2.0269901881595085
Roach,327.44502426245924,56.23751535722822,20.436288262799195,38.042892948736174,12.485617414882743,4.705305129341495
Perch,868.7475735871503,17.96493032853344,15.979925913072977,37.048098364720964,11.90257630580431,4.229059312941498
Perch,46.677299901792196,10.344118179020121,16.755628561719877,30.538532527592547,11.033978270599336,4.026710418769702
Smelt,433.3680688272987,27.242612589027026,13.164894492951317,41.732643999853,7.412587806750952,5.854921062018981
Perch,326.9093369601883,33.84218247665614,49.962577793526236,37.98069926581462,1.097511635423185,2.696407443586218
Bream,980.6544333733315,18.798019392266323,20.12858696944462,19.197587353216406,1.544507986955856,2.5151821430155907
Smelt,313.90649499271035,29.875594047040973,28.572925311391806,46.72615705192687,4.296330518817477,4.278182848476789
Pike,546.0861559409974,37.94740066081853,44.80542676781707,13.282238908653248,3.292682782590286,3.2742012881940132
Bream,514.6409392989576,11.903837652145398,37.50352280943444,35.076303189122186,13.360718723582302,7.039789338816229
Smelt,663.5989262065607,17.631369925052258,18.90568598488376,37.40436569288103,8.583500393732933,4.007158783210647
Perch,577.482507700772,15.251160843973453,26.913906272005207,46.05747996602698,8.3323778447682,4.0178128300859575
Perch,320.9876681701837,7.770893248842636,34.62104542295328,16.96836425252041,8.253986599453249,4.7877171432372245
Perch,497.789614586314,8.238899581641,27.739633078257217,30.48533687293765,14.862403369306705,4.331274102173037
Parkki,219.86122238194525,27.714218378326056,18.67712565042374,45.7713880906159,8.066343463040205,4.733721523789208
Whitefish,288.276300790866,25.946654531258172,22.266152955205538,38.8590471818065,1.544353839784769,5.440041243243281
Perch,179.3591572714323,17.205923574685848,16.199717088785988,19.523129078987246,6.444288532700254,5.9089549894487
Roach,483.45063903882533,45.97967043170752,35.059079830862835,25.98290240316001,9.682322512315919,4.419730623276199
Bream,361.27459035227866,15.75367274284469,21.685224516403125,51.56962640699376,11.620347314224144,4.44861222643937
Pike,446.6846908476425,16.87903711701584,27.330130402825493,42.06963124986737,9.055579551187428,2.8306471401780198
Perch,697.3599106333008,39.90070273737899,32.24949885587121,30.00313308520272,1.0505970720599231,3.544922230599968
Bream,313.87160752680654,22.16446993398557,13.923188627107454,29.691687469389034,9.523828691358524,4.427010696688123
Roach,663.4558864789963,13.066996854534082,21.202894207776765,16.501313724396134,7.778185165595497,3.3907168121338276
Bream,370.2388640742426,42.11219986161031,16.773948625591125,25.32421520225709,6.008160670662063,8.383299635598188
Smelt,303.50198941773306,42.35204304508557,35.955246780498356,34.89128206139505,8.081505831041888,2.303511860176463
Bream,453.59524296247514,21.769620340810494,32.71557322332851,23.328394174569922,11.272793274365183,4.352999974694371
Perch,287.0853651045968,14.387332962939144,11.70698948082364,37.82817079362449,11.203324511785738,5.485276454052417
Smelt,768.7683030893832,43.519310842828034,26.121772626465113,38.486187582695194,13.978604546292305,5.584420931585428
Roach,75.17953864686137,28.894428173288414,30.80392836112343,43.95971365973021,10.383340717236912,4.087661781661895
Smelt,544.439663990405,32.06844794608972,36.867554881811685,38.54081599390752,1.451539258356882,4.327556708027979
Perch,8.086333735039375,38.11399626617106,14.36062493160793,52.18386679143441,12.24284530195148,4.389100241913099
Roach,676.870102229866,27.373777766974566,16.13439064575384,19.947957004559264,1.3049192539589516,2.3671484909507474
Parkki,255.87172375353668,23.81432870655765,9.16350608165224,33.19548994724366,8.321892147480959,1.329220636083046
Bream,872.649729265597,18.24475916340552,0.46810050060204134,32.014963093740256,8.923425233602034,6.28678567339869
Smelt,725.8508766377647,31.362913783667796,23.274288280512593,36.25933737251819,4.633857356326353,3.505855412073597
Perch,703.6227512493541,26.415954876451085,37.99930900149256,40.787993659491335,9.154919150141565,4.263930831820246
Bream,390.99656893599075,36.23106330588844,42.30189818209111,46.01005705211916,8.268168323496402,3.9996194590385468
Perch,110.26942733954104,19.963547826615873,23.107086768704733,48.916662647689755,9.275595231141159,2.8293086748844236
Perch,276.3556260669541,30.621186482953945,27.342638282881794,22.84152472076567,6.471878706579799,4.332368577705193
Bream,20.698297066911266,6.026416120059338,31.325166165695702,50.639265015987014,11.710812974510787,4.332257323848861
Bream,411.7057872346126,10.668616263729556,49.000723624646255,22.308918069145125,11.666890180417278,2.4485486699375603
Perch,227.46567473296489,34.802771880034406,5.47111393874501,26.415608497594206,4.2391477109311255,3.2634969794363204
Bream,502.26725906851993,20.896586364978084,36.2555246649959,6.944109521082034,8.615714779961497,2.43895699309026
Perch,620.166351853667,33.73885817030416,51.39728632642503,54.18988864262627,5.006167646190029,3.2528542222329193
Perch,334.05651939796724,16.52808491014076,47.92544474155095,29.380356972218458,13.959943692110333,3.4812060909547546
Perch,29.97200153469231,31.031404829907586,25.841315061739806,40.23526677493126,12.88465126732695,5.826283872006973
Perch,264.0887504761283,20.858765896976855,26.826817018981423,27.36596316221082,7.65414043924111,3.7236137946571075
Roach,191.62139615681278,23.168286077676505,26.01070507583168,17.518398119565944,1.0209381035537746,2.760321525738636
Perch,452.31607221599336,35.4657959125968,35.87108526024948,26.08994237657076,8.009579053917863,5.39798819824675
Pike,368.37582210243585,25.059855295790335,40.56165452164441,35.18567539011714,10.485223401420217,3.7043850449179363
Perch,310.24705053007244,28.087372225559964,31.59321297926636,20.37488483807787,12.945212752185261,1.7680885886448778
Perch,770.2038721886449,36.76641000528114,34.48432790768713,15.36634883070332,6.288557509013534,3.109696683329509
Perch,850.3183367190633,20.13213684063835,40.31314886096285,45.77774510950533,3.9514665289243007,4.00572650179729
Pike,465.0378835968422,33.40824951797063,5.240356456063392,36.97126449313031,7.914808545305937,3.0726317379343575
Bream,682.8799489683698,10.461533133598117,10.569187808577151,52.1242094246101,10.927239854412967,5.432254671244292
Perch,387.0623336516691,44.5436730232351,18.93762287796903,51.64856009839061,14.709699505041261,3.4048796431243638
Pike,644.9039527906214,24.97734334804216,44.479700670273715,24.220215362749666,10.134215234863664,5.848473036076108
Bream,300.50707782773674,34.97190056089412,31.874615199692354,31.99916024139847,12.705191540085538,6.5379508504238935
Bream,68.58753857912666,27.93429526870739,15.528711082447712,44.75082117755444,3.7739178177086377,5.123398687167936
Bream,222.73510346723003,32.4235555082316,19.993456902472104,11.093701177130484,6.393851623214884,3.7492778744316704
Perch,871.8905581026729,29.0851291619614,28.87869087273105,42.502674663308845,12.83809619440741,3.9645338325215658
Parkki,471.7116680619027,13.319947260145787,23.588423878787374,16.527835523440686,8.421920355341966,6.255389181420375
Perch,217.10702947714,26.15378122731544,21.74438502216421,32.0059539401458,8.837749978633878,4.853713910560912
Roach,479.31171511210584,30.35469408323518,24.74498618065226,35.19483523315486,6.246583509961043,3.2436522684529643
Bream,318.62516710187094,15.485713699946155,14.945981274260397,34.59904908403887,8.64300356566553,4.366868668007345
Perch,471.3753924561652,40.10396577448621,30.983837653397792,28.619066783194075,13.641211560041622,4.094041545586349
Pike,351.4109598918699,36.13853930566618,32.28826033746246,42.40092371686015,9.05902378423274,2.921786300903287
Parkki,18.29522830043868,33.25790752548555,36.398016149360934,54.05029603594215,6.084613455869699,5.358153714612235
Roach,153.23646827364092,26.624506491662277,19.396038788224992,21.058164988305215,10.665713841440104,3.934526865392583
Pike,632.8862728288091,20.817334402153296,30.90782895620695,38.31263108042303,12.225744066578564,5.036541826542684
